fraud_category,risk_level,vendor_id,vendor_name,po_date,suspect_count,po_numbers,material_groups,exposure_jpy,event_month
Split Purchases,High,VEND040,Daikanyama Design Studio,2025-02-10,2,"4500000005, 4500000006","EVENTS, IT_SUPPORT",906000,2025-02
Split Purchases,High,VEND020,Hiroshima IT Support,2025-08-25,2,"4500000019, 4500000020","EVENTS, IT_SUPPORT",791000,2025-08
Split Purchases,High,VEND030,Shonan Event Staffing,2025-01-18,2,"4500000001, 4500000002","EVENTS, IT_SUPPORT",773000,2025-01
Split Purchases,High,VEND012,Aomori Apple Growers,2025-05-21,2,"4500000017, 4500000018","BEVERAGE, DRY_GOODS",732000,2025-05
Split Purchases,High,VEND011,Setouchi Fish Market,2025-02-06,2,"4500000007, 4500000008",FRESH_PRODUCE,727000,2025-02
Split Purchases,High,VEND026,Tsukiji Premium Foods,2025-04-01,2,"4500000009, 4500000010","BEVERAGE, FRESH_PRODUCE",717000,2025-04
Split Purchases,High,VEND032,Ibaraki Rice Mills,2025-08-11,2,"4500000015, 4500000016","DRY_GOODS, FRESH_PRODUCE",695000,2025-08
Split Purchases,High,VEND001,Sakura Seafood Co.,2025-05-05,2,"4500000003, 4500000004","BEVERAGE, SEAFOOD",645000,2025-05
Split Purchases,High,VEND021,Kumamoto Wagyu Foods,2025-05-26,2,"4500000011, 4500000012",SEAFOOD,635000,2025-05
Split Purchases,High,VEND021,Kumamoto Wagyu Foods,2025-04-17,2,"4500000013, 4500000014",BEVERAGE,632000,2025-04
