action_id,fraud_category,priority,owner,recommended_action,evidence_source,target_timing,success_measure
AR-001,Duplicate Invoices,High,Accounts Payable,"Review top suspected duplicate invoice pairs and place payment hold where payment has not been released.","06. Visualization/outputs/duplicate_invoices.csv",Immediate,"High-risk duplicate candidates reviewed before payment release"
AR-002,Duplicate Invoices,High,SAP FI / AP Control Owner,"Tighten MIRO duplicate invoice checks and define near-match exception logic for same vendor and similar amount.","06. Visualization/outputs/fraud_dashboard_summary.csv; 06. Visualization/outputs/sap_control_recommendations.csv",30-60 days,"Reduction in repeat duplicate invoice exceptions"
AR-003,Abnormal Vendors,High,Vendor Master Governance,"Validate duplicate bank account vendors and require documented approval for any legitimate shared bank account.","06. Visualization/outputs/abnormal_vendors.csv",Immediate,"All duplicate bank account exceptions dispositioned"
AR-004,Abnormal Vendors,High,Compliance / Procurement,"Perform enhanced review of new vendors with high cumulative payments during the first 90 days.","06. Visualization/outputs/abnormal_vendors.csv",0-30 days,"New-vendor high-payment exceptions reviewed with onboarding evidence"
AR-005,Approval Bypasses,Medium,SAP MM / Workflow Owner,"Reconcile approver master data to active employees and remove inactive or missing approver assignments.","06. Visualization/outputs/approval_bypasses.csv",0-30 days,"Zero open missing or inactive approver exceptions"
AR-006,Approval Bypasses,Medium,SAP MM / Workflow Owner,"Configure hard workflow stops when purchase order value exceeds approver authorization limit.","06. Visualization/outputs/approval_bypasses.csv",30-60 days,"No PO approvals exceed configured employee authority limits"
AR-007,Split Purchases,Medium,Procurement Control Owner,"Monitor same-day same-vendor purchase order clusters that are individually below threshold but cumulatively above threshold.","06. Visualization/outputs/split_purchases.csv",30-60 days,"Monthly split-purchase exception report reviewed by Procurement"
AR-008,Split Purchases,Medium,Procurement Leadership,"Review repeat vendors and requestors involved in split-purchase clusters for training or disciplinary follow-up.","06. Visualization/outputs/split_purchases.csv",60-90 days,"Repeat split-purchase behavior reduced quarter over quarter"
AR-009,All Categories,High,Internal Audit,"Create a remediation tracker linking each confirmed exception to owner, root cause, recovery status, and closure evidence.","07_Reports/executive_findings_report.md",0-30 days,"All high-priority exceptions assigned and tracked to closure"
AR-010,All Categories,Medium,Analytics / Internal Controls,"Schedule recurring dashboard generation and exception exports as a continuous control monitoring process.","06. Visualization/fraud_dashboard.py",60-90 days,"Dashboard refreshed on agreed cadence with documented review evidence"
